"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","conv_layers","dense_layers","dense_units_1","dense_units_2","dense_units_3","dropout_rate","epochs","filters_layer_1","filters_layer_2","filters_layer_3","filters_layer_4","kernel_size","learning_rate","optimizer","strides","accuracy_train","accuracy_val","epoch/epoch","epoch/accuracy","epoch/val_accuracy","epoch/loss","epoch/val_loss","epoch/learning_rate","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"green_blue","finished","-","","","2025-11-24T05:56:48.000Z","763","","","32","3","1","64","","","0.4","","32","32","64","","3","","","2","0.9833333333333332","0.9555555555555556","58","0.9777777791023254","0.800000011920929","0.08334983140230179","0.29742735624313354","0.0001250000059371814","0.9820359281437124","0.9642857142857144","0.9761904761904762","0.9642857142857144","0.9879518072289156","0.9642857142857144"
"red_blue","finished","-","","","2025-11-24T05:38:04.000Z","816","","","32","3","1","64","","","0.4","","32","32","64","","3","","","2","0.9777777777777776","0.9333333333333332","64","0.9944444298744202","0.9333333373069764","0.07720214873552322","0.1748591810464859","0.0000625000029685907","0.975609756097561","0.9454545454545454","0.9876543209876544","0.9629629629629628","0.963855421686747","0.9285714285714286"
"red_green","finished","-","","","2025-11-24T05:16:24.000Z","478","","","32","3","1","64","","","0.4","","32","32","64","","3","","","2","0.8111111111111111","0.8888888888888888","34","0.9666666388511658","0.8888888955116272","0.1306970864534378","0.3045783042907715","0.0005000000237487257","0.7901234567901234","0.9090909090909092","0.810126582278481","0.925925925925926","0.7710843373493976","0.8928571428571429"
"red","finished","-","","","2025-11-24T02:04:44.000Z","356","","","32","3","1","64","","","0.4","","32","32","64","","3","","","2","0.7111111111111111","0.6888888888888889","26","0.9111111164093018","0.3777777850627899","0.23557059466838837","1.829135179519653","0.0005000000237487257","0.7319587628865979","0.75","0.6396396396396397","0.75","0.8554216867469879","0.75"
"green","finished","-","","","2025-11-24T01:17:57.000Z","1032","","","32","3","1","64","","","0.4","","32","32","64","","3","","","2","0.9888888888888888","0.9777777777777776","84","0.9666666388511658","0.9777777791023254","0.08574560284614563","0.0686483085155487","0.000015625000742147677","0.9879518072289156","0.9818181818181818","0.9879518072289156","1","0.9879518072289156","0.9642857142857144"
"blue","finished","-","","","2025-11-22T22:48:14.000Z","206","","","32","3","1","64","","","0.4","","32","32","64","","3","","","2","0.6888888888888889","0.8666666666666667","28","0.9666666388511658","0.5111111402511597","0.1463606357574463","1.7737784385681152","0.0002500000118743628","0.7358490566037735","0.9","0.6046511627906976","0.84375","0.9397590361445785","0.9642857142857144"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:64","finished","-","","","2025-11-22T22:21:16.000Z","79","","","64","3","1","64","","","0.4","","32","32","64","","3","","","2","0.7611111111111111","0.7777777777777778","10","0.9222221970558168","0.6222222447395325","0.27281710505485535","1.570308804512024","0.0005000000237487257","0.7570621468926554","0.8076923076923077","0.7127659574468085","0.875","0.8072289156626506","0.75"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:16","finished","-","","","2025-11-22T22:14:52.000Z","190","","","16","3","1","64","","","0.4","","32","32","64","","3","","","2","0.9111111111111112","0.9777777777777776","26","0.9611111283302308","0.8444444537162781","0.12466596812009811","0.46956637501716614","0.0005000000237487257","0.902439024390244","0.9818181818181818","0.9135802469135802","1","0.891566265060241","0.9642857142857144"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.5, bs:32","finished","-","","","2025-11-22T22:06:59.000Z","135","","","32","3","1","64","","","0.5","","32","32","64","","3","","","2","0.5055555555555555","0.6","17","0.9555555582046508","0.7333333492279053","0.19249343872070312","0.6538172364234924","0.0005000000237487257","0.6509803921568628","0.7428571428571429","0.48255813953488375","0.6190476190476191","1","0.9285714285714286"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.3, bs:32","finished","-","","","2025-11-22T21:58:43.000Z","247","","","32","3","1","64","","","0.3","","32","32","64","","3","","","2","0.8777777777777778","0.9111111111111112","32","0.9888888597488404","0.8444444537162781","0.04930679500102997","0.3711938560009002","0.0005000000237487257","0.872093023255814","0.9285714285714286","0.8426966292134831","0.9285714285714286","0.9036144578313252","0.9285714285714286"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:128, dr:0.4, bs:32","finished","-","","","2025-11-22T21:54:08.000Z","84","","","32","3","1","128","","","0.4","","32","32","64","","3","","","2","0.4722222222222222","0.6222222222222222","10","0.9444444179534912","0.6666666865348816","0.19755226373672485","0.6491879820823669","0.0005000000237487257","0.6360153256704981","0.7605633802816901","0.46629213483146065","0.627906976744186","1","0.9642857142857144"
